Animal ID,Outcome Date,Outcome Type,Age upon Outcomes(years)
A800280,2019-07-29,Transfer,0.0
A734022,2016-09-02,Transfer,0.0
A799169,2019-07-08,Transfer,1.0
A721065,2016-03-19,Adoption or RTO,6.0
A752923,2017-08-02,Transfer,0.0
A747061,2017-04-13,Transfer,0.0
A703290,2015-05-26,Transfer,0.0
A812306,2020-01-23,Transfer,0.0
A740054,2016-12-27,Adoption or RTO,1.0
A733291,2016-09-24,Adoption or RTO,0.0
A767889,2019-12-22,Adoption or RTO,2.0
A682833,2014-09-13,Adoption or RTO,0.0
A776024,2018-07-08,Transfer,0.0
A708298,2015-07-26,Transfer,1.0
A759661,2017-10-07,Transfer,0.0
A822194,2020-10-09,Adoption or RTO,0.0
A756178,2017-08-19,Adoption or RTO,0.0
A822330,2020-08-31,Transfer,0.0
A666886,2013-11-12,Adoption or RTO,0.0
A711113,2015-09-02,Transfer,0.0
A667426,2014-01-12,Adoption or RTO,8.0
A719790,2016-02-01,Adoption or RTO,0.0
A695373,2015-01-14,Euthanasia,3.0
A774310,2018-09-23,Adoption or RTO,0.0
A753025,2017-07-04,Transfer,2.0
A666794,2013-11-30,Adoption or RTO,0.0
A718934,2016-01-20,Transfer,0.0
A783645,2018-11-13,Transfer,0.0
A826913,2020-12-14,Adoption or RTO,0.0
A798952,2019-08-23,Adoption or RTO,2.0
A795822,2019-06-15,Adoption or RTO,2.0
A805942,2019-11-29,Adoption or RTO,0.0
A701610,2015-10-13,Adoption or RTO,0.0
A683935,2014-07-23,Adoption or RTO,0.0
A790929,2019-03-23,Adoption or RTO,3.0
A795420,2019-06-05,Transfer,0.0
A705942,2015-07-01,Adoption or RTO,0.0
A759011,2017-09-29,Adoption or RTO,0.0
A664000,2013-10-10,Adoption or RTO,0.0
A678716,2014-06-29,Adoption or RTO,0.0
A688599,2014-09-21,Transfer,0.0
A751542,2017-06-16,Adoption or RTO,0.0
A729549,2016-06-22,Died or Missing,0.0
A703385,2015-06-23,Adoption or RTO,0.0
A790797,2019-07-16,Adoption or RTO,0.0
